Variable,type,num_values,num_unique_values,num_nulls,proportion_nulls,min_length,max_length,min,max,mean,median,stddev
id,VARCHAR,2521182,2521182,0,0,32,32,,,,,
primary_name,VARCHAR,2521182,2030526,0,0,0,511,,,,,
main_category,VARCHAR,2182476,1835,243826,0.10049284994602203,3,55,,,,,
alternate_category,VARCHAR,1791513,82676,634789,0.2616281807422638,3,108,,,,,
address,VARCHAR,2255392,1507318,170910,0.070440531,0,462,,,,,
locality,VARCHAR,1887480,22814,538822,0.22207540273666382,1,50,,,,,
postcode,VARCHAR,2218563,735432,207739,0.085619599,1,243,,,,,
region,VARCHAR,885692,713,1540610,0.6349622011184692,1,36,,,,,
country,VARCHAR,2426050,165,252,0.000103862,2,2,,,,,
source,VARCHAR,2521182,2,0,0,4,4,,,,,
source_record_id,VARCHAR,2521182,2521182,0,0,10,18,,,,,
lat,DOUBLE,2521182,2139608,0,0,,,49.75042,60.8552821,52.703478436527185,52.4154865,1.5706119095070565
long,DOUBLE,2521182,2179431,0,0,,,-8.9999914,2.009778,-1.903204796,-1.58663665,2.0007374019374526
h3_15,VARCHAR,2521182,2298196,0,0,,,,,,,
easting,DOUBLE,2521182,2139608,0,0,,,3285,655559,426402,433830,109900
northing,DOUBLE,2521182,2179431,0,0,,,8070,1219395,308760,267577,173625
LSOA21CD,VARCHAR,2521182,46335,0,0,15,15,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
